trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.45, 'e': 0.997}",25,0,-196.1030602326641,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
2,False,"{'a': 0.45, 'e': 0.994}",20,0,-84.36014204368004,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.45, 'e': 0.991}",20,0,-246.65828436562273,"{0: 9, 1: 3, 2: 2, 3: 1, 4: 5}",0
4,False,"{'a': 0.45, 'e': 0.988}",20,0,-213.16095330938322,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 3}",0
5,False,"{'a': 0.45, 'e': 0.985}",25,0,-164.43507112176695,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
6,False,"{'a': 0.45, 'e': 0.982}",20,0,-98.19858904104785,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.45, 'e': 0.979}",20,0,-45.1690493099694,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.45, 'e': 0.976}",30,0,-135.48862014148713,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.45, 'e': 0.973}",20,0,-89.93662565909078,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
10,False,"{'a': 0.45, 'e': 0.97}",25,0,-113.85044577269586,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.45, 'e': 0.967}",20,0,-86.29354600804344,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.45, 'e': 0.964}",20,0,-90.70001299532427,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
13,False,"{'a': 0.45, 'e': 0.961}",20,0,-41.674720571181645,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.45, 'e': 0.958}",25,0,-67.53961970532261,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.45, 'e': 0.955}",20,0,-52.87519377747933,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.45, 'e': 0.952}",30,0,-91.89498475848985,"{0: 21, 1: 2, 2: 3, 3: 4, 4: 0}",0
17,False,"{'a': 0.45, 'e': 0.949}",25,0,-133.38222787127327,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.45, 'e': 0.946}",20,0,-117.32964535500813,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.45, 'e': 0.943}",20,0,-111.5220170540357,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.45, 'e': 0.94}",20,0,-69.42066494158675,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.45, 'e': 0.9369999999999999}",30,0,-78.00607388814993,"{0: 19, 1: 6, 2: 3, 3: 2, 4: 0}",0
